Model,New T2I,AUC-PR,F1 Score
2024-10-30-13-27,0.3333333333333333,0.02034784816262,
2024-10-30-13-36,0.3333333333333333,0.0193980924791349,
2024-10-30-13-46,0.3333333333333333,0.0180087395480482,
2024-10-30-13-54,0.3333333333333333,0.0197568888502661,
2024-10-30-14-05,0.3333333333333333,0.0200745309012213,
2024-10-30-14-16,0.3333333333333333,0.0197883620671667,
2024-10-30-14-28,0.3333333333333333,0.0190277954824261,
2024-10-30-14-37,0.4285714285714285,0.0204001824716298,
2024-10-30-14-46,0.4285714285714285,0.0205723316037035,
2024-10-30-14-51,0.3333333333333333,0.0193588190369809,
2024-10-30-15-03,0.3333333333333333,0.0200193609900334,
2024-10-30-15-22,0.3333333333333333,0.017213630660621,
2024-10-30-15-38,0.3333333333333333,0.01999727365715,
2024-10-30-16-01,0.3333333333333333,0.0174690795346451,
2024-10-30-16-14,0.3333333333333333,0.017042499593202,
2024-10-30-16-25,0.4285714285714285,0.0184188561254019,
2024-10-30-16-35,0.3333333333333333,0.020060348708966,
2024-10-30-16-44,0.3333333333333333,0.0197985633780719,
2024-10-30-16-54,0.3333333333333333,0.0193534895153979,
2024-10-30-17-02,0.3333333333333333,0.0196453290928243,
2024-10-30-17-09,0.3333333333333333,0.0190311877334643,
2024-10-30-17-16,0.3333333333333333,0.0195539040654995,
2024-11-01-09-42,0.1688654353562005,0.0197217402354744,
2024-11-01-09-42,0.2244897959183673,0.0197217402354744,
2024-11-01-09-42,0.2464788732394366,0.0197217402354744,
2024-11-01-09-42,0.2647058823529412,0.0197217402354744,
2024-11-01-09-42,0.3095238095238095,0.0197217402354744,
2024-11-01-09-42,0.3214285714285714,0.0197217402354744,
2024-11-01-09-42,0.3684210526315789,0.0197217402354744,
2024-11-01-09-42,0.4545454545454545,0.0197217402354744,
2024-11-01-09-42,0.3333333333333333,0.0197217402354744,
2024-11-01-09-42,0.25,0.0197217402354744,
2024-11-14-10-20,0.1693548387096774,0.0195073715555047,
2024-11-14-10-20,0.2217741935483871,0.0195073715555047,
2024-11-14-10-20,0.25,0.0195073715555047,
2024-11-14-10-20,0.25,0.0195073715555047,
2024-11-14-10-20,0.2608695652173913,0.0195073715555047,
2024-11-14-10-20,0.3333333333333333,0.0195073715555047,
2024-11-14-10-20,0.35,0.0195073715555047,
2024-11-14-10-20,0.4545454545454545,0.0195073715555047,
2024-11-14-10-20,0.4285714285714285,0.0195073715555047,
2024-11-14-10-20,0.25,0.0195073715555047,
2024-11-21-10-08,0.1738148984198645,0.0204253971507578,
2024-11-21-10-08,0.21875,0.0204253971507578,
2024-11-21-10-08,0.2359550561797752,0.0204253971507578,
2024-11-21-10-08,0.25,0.0204253971507578,
2024-11-21-10-08,0.2727272727272727,0.0204253971507578,
2024-11-21-10-08,0.303030303030303,0.0204253971507578,
2024-11-21-10-08,0.3809523809523809,0.0204253971507578,
2024-11-21-10-08,0.4285714285714285,0.0204253971507578,
2024-11-21-10-08,0.4285714285714285,0.0204253971507578,
2024-11-21-10-08,0.25,0.0204253971507578,
2024-11-21-16-08,0.1513409961685823,0.0160548862236561,
2024-11-21-16-08,0.1827956989247312,0.0160548862236561,
2024-11-21-16-08,0.1952191235059761,0.0160548862236561,
2024-11-21-16-08,0.1962025316455696,0.0160548862236561,
2024-11-21-16-08,0.2156862745098039,0.0160548862236561,
2024-11-21-16-08,0.2222222222222222,0.0160548862236561,
2024-11-21-16-08,0.2368421052631578,0.0160548862236561,
2024-11-21-16-08,0.24,0.0160548862236561,
2024-11-21-16-08,0.2,0.0160548862236561,
2024-11-21-16-08,0.1666666666666666,0.0160548862236561,
2024-12-04-11-19,0.4444444444444444,0.0196250581850514,
2024-12-09-09-43,0.1688654353562005,0.019301918123625,
2024-12-09-09-43,0.2134387351778656,0.019301918123625,
2024-12-09-09-43,0.2411347517730496,0.019301918123625,
2024-12-09-09-43,0.2857142857142857,0.019301918123625,
2024-12-09-09-43,0.2790697674418604,0.019301918123625,
2024-12-09-09-43,0.2962962962962963,0.019301918123625,
2024-12-09-09-43,0.3684210526315789,0.019301918123625,
2024-12-09-09-43,0.4545454545454545,0.019301918123625,
2024-12-09-09-43,0.3333333333333333,0.019301918123625,
2024-12-09-09-43,0.25,0.019301918123625,
2024-12-10-09-31,0.1217391304347826,0.0179818830836775,
2024-12-10-09-31,0.1512195121951219,0.0179818830836775,
2024-12-10-09-31,0.1639344262295081,0.0179818830836775,
2024-12-10-09-31,0.1323529411764706,0.0179818830836775,
2024-12-10-09-31,0.1111111111111111,0.0179818830836775,
2024-12-10-09-31,0.2,0.0179818830836775,
2024-12-10-09-31,0.0909090909090909,0.0179818830836775,
2024-12-10-09-31,0.0,0.0179818830836775,
2024-12-10-09-31,0.0,0.0179818830836775,
2024-12-10-09-31,0.0,0.0179818830836775,
2024-12-12-16-06,0.1219512195121951,0.0173507428065667,
