Model,New T2I,AUC-PR,F1 Score
2024-12-12-21-56,0.0,0.0174195831986512,
2024-12-12-21-56,0.1004304160688665,0.0174195831986512,
2024-12-12-21-56,0.1038338658146964,0.0174195831986512,
2024-12-12-21-56,0.1073345259391771,0.0174195831986512,
2024-12-12-21-56,0.10546875,0.0174195831986512,
2024-12-12-21-56,0.1130434782608695,0.0174195831986512,
2024-12-12-21-56,0.1186868686868686,0.0174195831986512,
2024-12-12-21-56,0.1208791208791208,0.0174195831986512,
2024-12-12-21-56,0.1226993865030674,0.0174195831986512,
2024-12-12-21-56,0.1305841924398625,0.0174195831986512,
2024-12-12-21-56,0.1301115241635687,0.0174195831986512,
2024-12-12-21-56,0.1004304160688665,0.0174195831986512,
2024-12-12-21-56,0.1038338658146964,0.0174195831986512,
2024-12-12-21-56,0.1073345259391771,0.0174195831986512,
2024-12-12-21-56,0.10546875,0.0174195831986512,
2024-12-12-21-56,0.1130434782608695,0.0174195831986512,
2024-12-12-21-56,0.1186868686868686,0.0174195831986512,
2024-12-12-21-56,0.1208791208791208,0.0174195831986512,
2024-12-12-21-56,0.1226993865030674,0.0174195831986512,
2024-12-12-21-56,0.1305841924398625,0.0174195831986512,
2024-12-12-21-56,0.1301115241635687,0.0174195831986512,
2024-12-12-21-56,0.1391304347826087,0.0174195831986512,
2024-12-12-21-56,0.1004304160688665,0.0174195831986512,
2024-12-12-21-56,0.1038338658146964,0.0174195831986512,
2024-12-12-21-56,0.1073345259391771,0.0174195831986512,
2024-12-12-21-56,0.10546875,0.0174195831986512,
2024-12-12-21-56,0.1130434782608695,0.0174195831986512,
2024-12-12-21-56,0.1186868686868686,0.0174195831986512,
2024-12-12-21-56,0.1208791208791208,0.0174195831986512,
2024-12-12-21-56,0.1226993865030674,0.0174195831986512,
2024-12-12-21-56,0.1305841924398625,0.0174195831986512,
2024-12-12-21-56,0.1301115241635687,0.0174195831986512,
2024-12-12-21-56,0.1391304347826087,0.0174195831986512,
2024-12-12-21-56,0.1485148514851485,0.0174195831986512,
2024-12-12-21-56,0.1542553191489361,0.0174195831986512,
